Time (d),U234,U235,U236,U237,U238,U239,Np236,Np237,Np238,Np239,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243
110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5104.4324659816975,2394.9486638932062,595.7452298762087,286.0140456901854,0.02528136950133949,8.45796372916066,0.58063331743663,8.567238483371113
120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4993.505574328998,2383.5889711354366,587.5686957570969,284.66492723756113,0.025162161190738455,9.071757515620021,0.676903060039271,9.237852949325148
130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4884.9879443200225,2371.982805384194,579.5788777111339,283.30621526216765,0.025042103180783884,9.663041716769644,0.7781858491325054,9.891519146597547
140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4778.823025442986,2360.1427012123318,571.7689458221581,281.9386674834624,0.024921262558053593,10.232574864551422,0.8839790186490641,10.528578124764072
150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4674.9687710366425,2348.077093928542,564.1347948778673,280.56270820837875,0.02479967687194069,10.780840209735677,0.9940525370865789,11.149300875023119
160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4573.371433175864,2335.7977255962765,556.6701230030811,279.17903050247486,0.02467740744211443,11.30854294302458,1.1079566829737795,11.754014926048292
170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4473.982216437419,2323.3149387134263,549.3695580431338,277.7882136814595,0.024554505527745015,11.816294320727867,1.2253347164965636,12.343023877237025
180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4473.982216437419,2323.3149387134263,549.3695580431338,277.7882136814595,0.024554505527745015,11.816294320727867,1.2253347164965636,12.343023877237025
190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4473.9822164275865,2323.3149387121716,548.6404736253577,277.7882136813199,2.4558641131760953e-12,12.544844318790663,1.225334716508931,12.367578382820414
200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4473.982216417756,2323.314938710913,547.9131081727495,277.78821368118,2.4560857968069345e-12,13.27161861600547,1.2253347165229773,12.367578382878513
210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4473.982216407924,2323.3149387096546,547.1878617954849,277.7882136810396,2.4560841649329286e-12,13.996203901823643,1.225334716539093,12.367578382936612
220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4473.982216398095,2323.3149387083968,546.4626154182203,277.7882136808992,2.4560825330589226e-12,14.720789187641811,1.2253347165552086,12.367578382994711
230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4473.9822163882645,2323.314938707139,545.7373690409556,277.7882136807588,2.4560809011849163e-12,15.44537447345998,1.2253347165713244,12.36757838305281
240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4473.9822163882645,2323.314938707139,545.7373690409556,277.7882136807588,2.456080901184917e-12,15.44537447345998,1.2253347165713244,12.36757838305281
250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4376.768407130841,2310.638217158216,538.6973389071567,276.3800278327186,0.024428407936094205,15.858557575320255,1.3917506919108575,12.916556973863965
260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.259565245951,2297.7293375618083,531.8498034587759,274.9648500886208,0.024305044591079166,16.24982217093318,1.5587890278844272,13.470843689388337
270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4189.745406532903,2284.6581805738124,525.1418542179275,273.54512872839246,0.02417979985717512,16.6251648684003,1.725947308791115,14.01086990522026
280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4098.890895362318,2271.472393482431,518.5449797530719,272.12299653138984,0.024055387756764197,16.987788001804468,1.8924708861757742,14.538878950110952
290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4009.9254259300556,2258.138889117102,512.0788166558663,270.6969620643673,0.023929895498695116,17.335486969086542,2.0588931620332693,15.053338303598819
300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3922.8489982361184,2244.6576674778253,505.74336492631056,269.2670253273246,0.023803323082967873,17.66826177024653,2.2252141363636,15.554247965683862
310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3837.6616122805067,2231.0287285646004,499.5386245644048,267.83318632026175,0.023675670509582462,17.98611240528443,2.391433809166767,16.041607936366084
