U234	U235	U236	U237	U238	U239	Np236	Np237	Np238	Np239	Pu238	Pu239	Pu240	Pu241	Pu242	Pu243	Am241	Am242	Am243
1.6688E+00	2.7112E+00	1.7566E+00	1.6947E+00	1.6484E+00	2.2252E+00	3.0854E+00	2.3630E+00	3.1878E+00	2.5634E+00	2.4273E+00	2.8802E+00	1.7640E+00	3.7193E+00	1.6444E+00	2.1129E+00	2.1555E+00	3.0411E+00	2.4239E+00
1.6088E+00	2.7021E+00	1.7275E+00	1.6650E+00	1.6127E+00	2.1938E+00	3.1011E+00	2.3267E+00	3.1822E+00	2.5225E+00	2.3861E+00	2.8664E+00	1.7400E+00	3.6820E+00	1.6138E+00	1.9802E+00	2.1336E+00	3.0036E+00	2.3969E+00
1.5303E+00	2.6743E+00	1.6825E+00	1.6138E+00	1.5628E+00	2.1465E+00	3.1325E+00	2.2775E+00	3.1839E+00	2.4640E+00	2.3274E+00	2.8294E+00	1.7048E+00	3.6285E+00	1.5729E+00	1.7893E+00	2.1037E+00	2.9571E+00	2.3517E+00
1.4376E+00	2.6431E+00	1.6249E+00	1.5426E+00	1.4979E+00	2.0724E+00	3.1804E+00	2.2267E+00	3.2039E+00	2.3843E+00	2.2533E+00	2.8134E+00	1.6472E+00	3.5693E+00	1.5240E+00	1.5571E+00	2.0639E+00	2.9093E+00	2.2862E+00
1.3924E+00	2.6168E+00	1.5953E+00	1.5013E+00	1.4588E+00	2.0292E+00	3.2083E+00	2.1989E+00	3.2227E+00	2.3492E+00	2.2142E+00	2.7888E+00	1.6161E+00	3.5313E+00	1.4996E+00	1.4381E+00	2.0443E+00	2.8869E+00	2.2546E+00
1.3864E+00	2.6110E+00	1.5908E+00	1.4957E+00	1.4521E+00	2.0193E+00	3.2076E+00	2.1948E+00	3.2189E+00	2.3390E+00	2.2114E+00	2.7888E+00	1.6127E+00	3.5178E+00	1.4941E+00	1.4270E+00	2.0402E+00	2.8851E+00	2.2511E+00
1.3813E+00	2.6057E+00	1.5870E+00	1.4912E+00	1.4462E+00	2.0099E+00	3.2059E+00	2.1917E+00	3.2140E+00	2.3288E+00	2.2099E+00	2.7898E+00	1.6100E+00	3.5101E+00	1.4889E+00	1.4192E+00	2.0364E+00	2.8837E+00	2.2478E+00
1.3682E+00	2.5933E+00	1.5774E+00	1.4797E+00	1.4315E+00	1.9955E+00	3.2015E+00	2.1796E+00	3.2016E+00	2.3036E+00	2.2060E+00	2.7921E+00	1.6008E+00	3.4909E+00	1.4759E+00	1.3994E+00	2.0269E+00	2.8813E+00	2.2396E+00
1.3407E+00	2.5717E+00	1.5568E+00	1.4552E+00	1.4000E+00	1.9759E+00	3.1920E+00	2.1542E+00	3.1782E+00	2.2502E+00	2.1979E+00	2.7885E+00	1.5802E+00	3.4496E+00	1.4480E+00	1.3572E+00	2.0066E+00	2.8792E+00	2.2219E+00
1.2887E+00	2.5543E+00	1.5129E+00	1.4046E+00	1.3418E+00	1.9280E+00	3.1742E+00	2.1111E+00	3.1462E+00	2.1538E+00	2.1826E+00	2.7330E+00	1.5414E+00	3.3717E+00	1.3960E+00	1.2774E+00	1.9796E+00	2.8808E+00	2.1979E+00
1.2403E+00	2.5466E+00	1.4690E+00	1.3500E+00	1.2890E+00	1.8683E+00	3.1763E+00	2.0943E+00	3.1303E+00	2.1012E+00	2.1429E+00	2.6956E+00	1.5040E+00	3.3124E+00	1.3482E+00	1.2036E+00	1.9368E+00	2.8847E+00	2.1861E+00
1.2086E+00	2.5187E+00	1.4405E+00	1.3152E+00	1.2545E+00	1.8168E+00	3.1915E+00	2.0753E+00	3.1318E+00	2.0782E+00	2.0992E+00	2.7098E+00	1.4813E+00	3.2922E+00	1.3187E+00	1.1584E+00	1.9108E+00	2.8900E+00	2.1736E+00
