U234	U235	U236	U237	U238	U239	Np236	Np237	Np238	Np239	Pu238	Pu239	Pu240	Pu241	Pu242	Pu243	Am241	Am242	Am243
1.9291E-02	6.2090E-03	1.0022E-02	1.2949E-02	2.6396E-03	3.0433E-03	7.5893E-04	1.5953E-02	6.0059E-04	1.7258E-03	8.0369E-03	1.0446E-03	9.2794E-03	1.49E-02	2.42E-03	4.21E-03	1.08E-02	3.04E-03	1.29E-02
2.1452E-02	7.3571E-03	1.1423E-02	1.4976E-02	3.3215E-03	3.6463E-03	8.2260E-04	1.7336E-02	6.6131E-04	2.1656E-03	9.9306E-03	1.1901E-03	1.0268E-02	1.65E-02	3.20E-03	4.31E-03	1.37E-02	3.31E-03	1.46E-02
2.4884E-02	9.4101E-03	1.3867E-02	1.8631E-02	4.6938E-03	4.9687E-03	1.0110E-03	1.9494E-02	8.3047E-04	3.1089E-03	1.3359E-02	1.4765E-03	1.2071E-02	1.92E-02	4.74E-03	4.45E-03	1.91E-02	3.82E-03	1.78E-02
2.9493E-02	1.3073E-02	1.7430E-02	2.4104E-02	7.2864E-03	7.3394E-03	1.4224E-03	2.2963E-02	1.1917E-03	4.9411E-03	1.8961E-02	1.9697E-03	1.4921E-02	2.36E-02	7.68E-03	4.63E-03	2.77E-02	4.71E-03	2.28E-02
3.4006E-02	1.8042E-02	2.1703E-02	3.0292E-02	1.0585E-02	1.0641E-02	2.0905E-03	2.6578E-02	1.7663E-03	7.6789E-03	2.5942E-02	2.6686E-03	1.8358E-02	2.87E-02	1.21E-02	4.79E-03	3.99E-02	5.90E-03	2.89E-02
3.7316E-02	2.2343E-02	2.5340E-02	3.5446E-02	1.3801E-02	1.3990E-02	2.7842E-03	2.9370E-02	2.3560E-03	1.0318E-02	3.1901E-02	3.4153E-03	2.1589E-02	3.27E-02	1.62E-02	4.89E-03	5.07E-02	6.98E-03	3.39E-02
3.9521E-02	2.5856E-02	2.8036E-02	3.8828E-02	1.6144E-02	1.6260E-02	3.3893E-03	3.1456E-02	2.8693E-03	1.2582E-02	3.6605E-02	3.9257E-03	2.3756E-02	3.56E-02	1.96E-02	4.96E-03	5.88E-02	7.85E-03	3.77E-02
4.1666E-02	2.9234E-02	3.0872E-02	4.2290E-02	1.8871E-02	1.9018E-02	4.1146E-03	3.3546E-02	3.4826E-03	1.5154E-02	4.1675E-02	4.5504E-03	2.6227E-02	3.88E-02	2.36E-02	5.63E-03	6.71E-02	8.77E-03	4.18E-02
4.3811E-02	3.2716E-02	3.4095E-02	4.5891E-02	2.1798E-02	2.2412E-02	4.9776E-03	3.5655E-02	4.2089E-03	1.7965E-02	4.6965E-02	5.3759E-03	2.9059E-02	4.22E-02	2.80E-02	7.06E-03	7.63E-02	9.77E-03	4.59E-02
4.5952E-02	3.6098E-02	3.7630E-02	4.9327E-02	2.5088E-02	2.5652E-02	6.0094E-03	3.8400E-02	5.0720E-03	2.1156E-02	5.2942E-02	6.4234E-03	3.2257E-02	4.59E-02	3.28E-02	8.42E-03	8.57E-02	1.08E-02	5.02E-02
4.8018E-02	3.9792E-02	4.1288E-02	5.2593E-02	2.8540E-02	2.8794E-02	7.2165E-03	4.1760E-02	6.0695E-03	2.4571E-02	5.9616E-02	7.6983E-03	3.5708E-02	5.00E-02	3.76E-02	9.72E-03	9.48E-02	1.20E-02	5.46E-02
4.9685E-02	4.3041E-02	4.4517E-02	5.5165E-02	3.1636E-02	3.2144E-02	8.3594E-03	4.4662E-02	7.0019E-03	2.7556E-02	6.4867E-02	8.8758E-03	3.8923E-02	5.36E-02	4.16E-02	1.07E-02	1.02E-01	1.29E-02	5.84E-02
5.0524E-02	4.4622E-02	4.6272E-02	5.6406E-02	3.3155E-02	3.3973E-02	8.9904E-03	4.6095E-02	7.5127E-03	2.9127E-02	6.7479E-02	9.5259E-03	4.0703E-02	5.56E-02	4.36E-02	1.12E-02	1.06E-01	1.34E-02	6.04E-02
5.0866E-02	4.5382E-02	4.7022E-02	5.6896E-02	3.3738E-02	3.4696E-02	9.2529E-03	4.6713E-02	7.7250E-03	2.9774E-02	6.8558E-02	9.8186E-03	4.1479E-02	5.64E-02	4.45E-02	1.14E-02	1.07E-01	1.36E-02	6.12E-02
5.1375E-02	4.6592E-02	4.8136E-02	5.7622E-02	3.4602E-02	3.5766E-02	9.6729E-03	4.7639E-02	8.0640E-03	3.0795E-02	7.0158E-02	1.0253E-02	4.2629E-02	5.77E-02	4.58E-02	1.17E-02	1.09E-01	1.40E-02	6.24E-02
5.2413E-02	4.8966E-02	5.0440E-02	5.9046E-02	3.6301E-02	3.7867E-02	1.0523E-02	4.9475E-02	8.7404E-03	3.2734E-02	7.3518E-02	1.1105E-02	4.4888E-02	6.01E-02	4.82E-02	1.23E-02	1.13E-01	1.46E-02	6.50E-02
5.4179E-02	5.2782E-02	5.4362E-02	6.1342E-02	3.9685E-02	4.1252E-02	1.2061E-02	5.2950E-02	9.9456E-03	3.5986E-02	7.9527E-02	1.2534E-02	4.8876E-02	6.45E-02	5.21E-02	1.32E-02	1.20E-01	1.56E-02	6.92E-02
5.6361E-02	5.7092E-02	5.8996E-02	6.3975E-02	4.4599E-02	4.5134E-02	1.4192E-02	5.7505E-02	1.1603E-02	4.0294E-02	8.7353E-02	1.4308E-02	5.4310E-02	7.03E-02	5.73E-02	1.43E-02	1.29E-01	1.68E-02	7.46E-02
5.8606E-02	6.1525E-02	6.3495E-02	6.6192E-02	4.9273E-02	4.9085E-02	1.6631E-02	6.2295E-02	1.3472E-02	4.4866E-02	9.5556E-02	1.6061E-02	5.9126E-02	7.57E-02	6.24E-02	1.53E-02	1.38E-01	1.80E-02	8.01E-02
6.0921E-02	6.6416E-02	6.8323E-02	6.7748E-02	5.3619E-02	5.3343E-02	1.9298E-02	6.7093E-02	1.5458E-02	4.9326E-02	1.0355E-01	1.7840E-02	6.3228E-02	8.09E-02	6.71E-02	1.63E-02	1.47E-01	1.93E-02	8.57E-02
6.3300E-02	7.1084E-02	7.3640E-02	6.9213E-02	5.7701E-02	5.7502E-02	2.2245E-02	7.1791E-02	1.7605E-02	5.3895E-02	1.1163E-01	1.9570E-02	6.7074E-02	8.64E-02	7.18E-02	1.72E-02	1.54E-01	2.05E-02	9.16E-02
6.5761E-02	7.4928E-02	7.9322E-02	7.0606E-02	6.1450E-02	6.1723E-02	2.5469E-02	7.6508E-02	1.9896E-02	5.8477E-02	1.1977E-01	2.1310E-02	6.9771E-02	9.24E-02	7.59E-02	1.81E-02	1.57E-01	2.17E-02	9.78E-02
6.8319E-02	7.7667E-02	8.5257E-02	7.1931E-02	6.5143E-02	6.5709E-02	2.8977E-02	8.1622E-02	2.2327E-02	6.3194E-02	1.2772E-01	2.2982E-02	7.1331E-02	9.84E-02	8.02E-02	1.89E-02	1.58E-01	2.30E-02	1.04E-01
7.1001E-02	8.0512E-02	9.1366E-02	7.3191E-02	7.0246E-02	6.9480E-02	3.2742E-02	8.8099E-02	2.4873E-02	6.7941E-02	1.3537E-01	2.4691E-02	7.2783E-02	1.02E-01	8.37E-02	1.97E-02	1.58E-01	2.44E-02	1.12E-01
