U235,U236,U237,U239,Np238,Pu239,Pu240,Pu241,Pu242,Pu243,Am242,Am243
0.13918,0.19342,0.099848,0.1215,0.090223,0.080451,0.1109,0.12567,0.12783,0.066036,0.064355,0.35748
0.14245,0.18993,0.1019,0.1235,0.094989,0.085392,0.1142,0.12806,0.12777,0.074398,0.068158,0.36987
0.14567,0.18709,0.10418,0.12541,0.10027,0.090378,0.11766,0.13053,0.12833,0.082353,0.07229,0.38271
0.14877,0.18454,0.10637,0.12774,0.10586,0.097292,0.12122,0.13288,0.12893,0.089919,0.076683,0.39599
0.15184,0.18226,0.10846,0.13047,0.11175,0.10267,0.12487,0.13513,0.12988,0.097109,0.08131,0.41024
0.15725,0.18061,0.1115,0.13542,0.11918,0.1097,0.13076,0.13952,0.13033,0.10527,0.089208,0.43355
0.16525,0.18246,0.11527,0.14344,0.12872,0.11812,0.13904,0.14552,0.13001,0.11428,0.099576,0.46716
0.1728,0.18536,0.11799,0.1503,0.13668,0.12567,0.14546,0.15001,0.1301,0.12107,0.10697,0.49394
0.18007,0.18753,0.12017,0.15588,0.14391,0.13074,0.15019,0.15423,0.13144,0.12764,0.11257,0.51288
0.19072,0.19107,0.12329,0.16564,0.15581,0.1354,0.15719,0.16037,0.13366,0.13719,0.12052,0.54259
0.20775,0.19612,0.12712,0.18041,0.17512,0.14567,0.16731,0.17128,0.13672,0.14888,0.12987,0.58405
0.21773,0.19902,0.12915,0.1895,0.18807,0.14758,0.17273,0.17854,0.13903,0.15492,0.13469,0.60784
0.21943,0.19941,0.12972,0.19082,0.18941,0.14869,0.17361,0.17954,0.13939,0.15575,0.13548,0.61131
0.22094,0.19973,0.13028,0.19204,0.19044,0.14986,0.17439,0.18021,0.13965,0.15645,0.13618,0.61425
0.22473,0.20054,0.13168,0.19533,0.19301,0.15278,0.17655,0.18188,0.14031,0.1582,0.13793,0.62162
0.23284,0.20229,0.13467,0.20264,0.19878,0.15847,0.1813,0.18546,0.14177,0.16194,0.14167,0.63741
0.24816,0.20622,0.14033,0.21929,0.2111,0.16496,0.19094,0.19222,0.14475,0.16902,0.14876,0.66764
0.26283,0.21052,0.1456,0.23759,0.22373,0.17216,0.20069,0.19854,0.14777,0.1756,0.15622,0.69758
0.27564,0.21353,0.14889,0.25077,0.23193,0.17861,0.20746,0.20332,0.14982,0.17972,0.16151,0.71889
0.28864,0.21651,0.15202,0.26464,0.24103,0.18372,0.21422,0.20986,0.15191,0.18363,0.16621,0.74068
0.30101,0.21942,0.155,0.27848,0.25052,0.18757,0.22125,0.21618,0.15405,0.18736,0.17046,0.76574
0.31228,0.22221,0.15864,0.29191,0.25908,0.19359,0.22819,0.22213,0.15609,0.19076,0.17526,0.79217
0.32183,0.22495,0.16399,0.30631,0.2654,0.19973,0.23542,0.22763,0.15793,0.19366,0.18154,0.82267
0.33088,0.22769,0.16916,0.32095,0.27145,0.20386,0.24281,0.23349,0.15979,0.19641,0.18759,0.85649
0.33948,0.23038,0.17407,0.33714,0.27731,0.20842,0.2503,0.24299,0.16179,0.19902,0.19258,0.89349
0.34771,0.23298,0.17875,0.35285,0.28377,0.21242,0.25797,0.25148,0.16469,0.20151,0.19678,0.93359
