U234,U235,U236,U238,U239,Np236,Np237,Np238,Np239,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243
2.9213,3.075,3.1131,3.1307,3.036,3.3164,3.2748,3.5595,3.3984,3.3298,3.3878,3.3465,3.4972,3.5918,3.8434,2.9986,3.5503,3.3732
2.8224,3.0437,2.8738,2.9608,2.9543,3.2835,3.241,3.5221,3.333,3.2981,3.3442,3.2802,3.5099,3.4681,3.781,2.9711,3.5317,3.3219
2.7233,3.0281,2.6662,2.7819,2.881,3.2532,3.2065,3.4869,3.2696,3.2421,3.3045,3.2074,3.5209,3.3144,3.6818,2.9016,3.5185,3.2332
2.7079,2.9988,2.5907,2.6559,2.8255,3.2271,3.1564,3.4563,3.2155,3.2284,3.2457,3.111,3.5282,3.1461,3.5288,2.8438,3.5134,3.1324
2.7391,2.9762,2.4928,2.5678,2.7673,3.2048,3.0916,3.429,3.1695,3.2123,3.2122,2.9829,3.5489,2.9675,3.3776,2.7667,3.5119,3.0098
2.7686,2.9596,2.4193,2.4874,2.7149,3.1923,3.0445,3.4118,3.1261,3.1894,3.2014,2.8893,3.5735,2.7943,3.2565,2.6974,3.5175,2.8955
2.81,2.9432,2.3433,2.4012,2.6658,3.1835,2.9991,3.398,3.0943,3.1587,3.1839,2.8238,3.5965,2.6365,3.1456,2.6777,3.5212,2.7967
2.8075,2.9371,2.2758,2.2977,2.626,3.1829,2.9467,3.3921,3.0615,3.1133,3.1619,2.7408,3.6215,2.4924,3.065,2.6049,3.5129,2.7092
2.7033,2.915,2.2089,2.2046,2.5937,3.1861,2.888,3.3896,3.0338,3.0652,3.1122,2.6515,3.6537,2.3902,2.9925,2.5457,3.5003,2.6495
2.5869,2.8932,2.1264,2.1015,2.5655,3.1829,2.8321,3.3799,3.0006,2.9874,3.067,2.5594,3.6901,2.3034,2.9262,2.5015,3.4763,2.6106
2.4774,2.8873,2.0824,2.0319,2.5435,3.1648,2.7925,3.3541,2.9512,2.8872,3.0528,2.4626,3.7313,2.2282,2.8681,2.4369,3.433,2.587
2.3846,2.875,2.047,2.0006,2.5235,3.1487,2.7292,3.3306,2.9054,2.8686,3.0322,2.3553,3.7705,2.1609,2.813,2.4057,3.3898,2.5604
2.3054,2.8681,2.011,1.9668,2.5041,3.1404,2.6653,3.3145,2.8675,2.8403,3.0095,2.2566,3.8019,2.0963,2.7606,2.3853,3.3463,2.5358
2.2527,2.8652,1.9768,1.9234,2.4836,3.1484,2.6041,3.3137,2.8436,2.7764,2.9871,2.1893,3.8164,2.029,2.7107,2.3369,3.3002,2.5186
2.2127,2.8376,1.9436,1.8793,2.4451,3.1598,2.5569,3.3161,2.8223,2.7137,2.9595,2.1123,3.8295,1.9705,2.6632,2.3022,3.2579,2.508
2.1192,2.8214,1.9097,1.8434,2.3914,3.1737,2.5314,3.3209,2.8024,2.6526,2.9358,2.0276,3.8417,1.9192,2.6178,2.2776,3.2194,2.5015
1.9554,2.7738,1.8598,1.7801,2.3376,3.1526,2.4875,3.2858,2.7339,2.5753,2.9049,1.9217,3.8217,1.8276,2.4771,2.2319,3.1639,2.4737
1.7782,2.7518,1.7992,1.7017,2.2776,3.1075,2.4197,3.2239,2.6309,2.488,2.892,1.8181,3.7673,1.7136,2.2667,2.1883,3.0926,2.4414
1.6688,2.7112,1.7566,1.6484,2.2252,3.0854,2.363,3.1878,2.5634,2.4273,2.8802,1.764,3.7193,1.6444,2.1129,2.1555,3.0411,2.4239
1.6088,2.7021,1.7275,1.6127,2.1938,3.1011,2.3267,3.1822,2.5225,2.3861,2.8664,1.74,3.682,1.6138,1.9802,2.1336,3.0036,2.3969
1.5303,2.6743,1.6825,1.5628,2.1465,3.1325,2.2775,3.1839,2.464,2.3274,2.8294,1.7048,3.6285,1.5729,1.7893,2.1037,2.9571,2.3517
1.4376,2.6431,1.6249,1.4979,2.0724,3.1804,2.2267,3.2039,2.3843,2.2533,2.8134,1.6472,3.5693,1.524,1.5571,2.0639,2.9093,2.2862
1.3924,2.6168,1.5953,1.4588,2.0292,3.2083,2.1989,3.2227,2.3492,2.2142,2.7888,1.6161,3.5313,1.4996,1.4381,2.0443,2.8869,2.2546
1.3864,2.611,1.5908,1.4521,2.0193,3.2076,2.1948,3.2189,2.339,2.2114,2.7888,1.6127,3.5178,1.4941,1.427,2.0402,2.8851,2.2511
1.3813,2.6057,1.587,1.4462,2.0099,3.2059,2.1917,3.214,2.3288,2.2099,2.7898,1.61,3.5101,1.4889,1.4192,2.0364,2.8837,2.2478
1.3682,2.5933,1.5774,1.4315,1.9955,3.2015,2.1796,3.2016,2.3036,2.206,2.7921,1.6008,3.4909,1.4759,1.3994,2.0269,2.8813,2.2396
1.3407,2.5717,1.5568,1.4,1.9759,3.192,2.1542,3.1782,2.2502,2.1979,2.7885,1.5802,3.4496,1.448,1.3572,2.0066,2.8792,2.2219
1.2887,2.5543,1.5129,1.3418,1.928,3.1742,2.1111,3.1462,2.1538,2.1826,2.733,1.5414,3.3717,1.396,1.2774,1.9796,2.8808,2.1979
1.2403,2.5466,1.469,1.289,1.8683,3.1763,2.0943,3.1303,2.1012,2.1429,2.6956,1.504,3.3124,1.3482,1.2036,1.9368,2.8847,2.1861
1.2086,2.5187,1.4405,1.2545,1.8168,3.1915,2.0753,3.1318,2.0782,2.0992,2.7098,1.4813,3.2922,1.3187,1.1584,1.9108,2.89,2.1736
1.1788,2.5111,1.413,1.2204,1.7801,3.208,2.0599,3.1379,2.06,2.0582,2.7032,1.4597,3.2565,1.2909,1.1155,1.8978,2.8977,2.1626
1.1498,2.5031,1.3866,1.1876,1.7462,3.2262,2.045,3.1522,2.0491,2.0194,2.7045,1.4394,3.2217,1.2648,1.0747,1.8869,2.905,2.1565
1.1218,2.4772,1.361,1.1493,1.7002,3.2314,2.0306,3.1539,2.0304,1.9892,2.6543,1.4177,3.1765,1.2354,1.0395,1.8898,2.9126,2.1514
1.0934,2.4592,1.3348,1.111,1.6657,3.2054,2.0168,3.1197,1.9909,1.976,2.6336,1.3849,3.1055,1.197,1.0142,1.8895,2.9225,2.1438
1.0664,2.4418,1.307,1.0749,1.6479,3.1786,2.0009,3.0901,1.952,1.9644,2.6386,1.37,3.0434,1.1601,0.99052,1.8887,2.9324,2.1317
1.0389,2.4163,1.2776,1.0492,1.6268,3.1552,1.9805,3.0684,1.9155,1.9334,2.6306,1.3435,3.0216,1.1255,0.968,1.8874,2.9425,2.1246
1.0135,2.405,1.2467,1.0171,1.6058,3.1469,1.966,3.0531,1.884,1.8902,2.6154,1.3118,3.0151,1.0943,0.94677,1.8861,2.9558,2.1207
0.98953,2.3831,1.2143,0.98126,1.5774,3.1412,1.9467,3.0449,1.8553,1.8498,2.5941,1.2911,3.0104,1.0652,0.92781,1.8867,2.9669,2.1167
0.96647,2.3672,1.1798,0.94834,1.5504,3.1359,1.9356,3.0389,1.8298,1.8216,2.5743,1.2651,3.0028,1.0376,0.90999,1.8905,2.9796,2.1032
0.94316,2.3563,1.144,0.91697,1.5389,3.1334,1.9292,3.0351,1.8058,1.7962,2.5561,1.2516,2.9923,1.0105,0.89303,1.8957,2.9949,2.0761
0.91917,2.3392,1.1085,0.87743,1.5314,3.1413,1.9182,3.0405,1.7784,1.7563,2.5388,1.2192,2.9821,0.98483,0.87691,1.9005,3.0112,2.0516
0.89629,2.328,1.0734,0.83886,1.5279,3.1556,1.908,3.0502,1.7546,1.697,2.5223,1.183,2.9724,0.95871,0.86155,1.905,3.0221,2.0327
0.87341,2.3222,1.0395,0.8028,1.5245,3.1723,1.8986,3.0634,1.7242,1.6434,2.5086,1.1367,2.9641,0.93306,0.84696,1.9095,3.0314,2.0187
0.84567,2.3229,1.0079,0.77156,1.5203,3.1982,1.8725,3.0834,1.701,1.6215,2.5055,1.1178,2.9615,0.90925,0.83308,1.914,3.0463,2.009
0.79572,2.3255,0.9559,0.7214,1.5132,3.2455,1.8341,3.1242,1.688,1.6341,2.5017,1.0702,2.958,0.87153,0.81098,1.9218,3.0716,2.0159
0.73518,2.3038,0.88359,0.64823,1.5116,3.2694,1.8266,3.142,1.6254,1.5937,2.4481,1.0226,2.942,0.79721,0.80306,1.9441,3.1061,2.0033
0.69802,2.3022,0.82911,0.59535,1.5163,3.269,1.8302,3.1434,1.5748,1.5348,2.3994,1.0054,2.9403,0.7423,0.80605,1.9696,3.134,1.9713
0.68151,2.324,0.80151,0.57446,1.5186,3.2689,1.8337,3.1503,1.5565,1.5075,2.4001,0.99054,2.9414,0.71816,0.8075,1.9816,3.1489,1.9914
0.653,2.3871,0.7563,0.53661,1.5208,3.2732,1.8331,3.1626,1.5389,1.4451,2.4046,0.93269,2.9428,0.68315,0.81223,2.0038,3.1637,2.0364
0.62045,2.4144,0.70285,0.50285,1.5245,3.2891,1.8187,3.1767,1.5457,1.3822,2.398,0.8985,2.9433,0.64236,0.8191,2.0311,3.1908,2.0917
0.57551,2.4341,0.63022,0.451,1.5464,3.2952,1.8231,3.1879,1.5656,1.3904,2.3803,0.82801,2.935,0.57008,0.84111,2.076,3.2394,2.1674
0.53443,2.452,0.56118,0.4169,1.5907,3.3138,1.8677,3.2116,1.5961,1.404,2.3677,0.74493,2.9161,0.50822,0.88336,2.1256,3.2931,2.2525
0.50655,2.4947,0.51115,0.39124,1.7135,3.3414,1.9103,3.2347,1.6226,1.3916,2.3664,0.71823,2.9301,0.49661,0.92676,2.1692,3.3416,2.3149
0.48509,2.5457,0.48385,0.36662,1.8052,3.3808,1.9444,3.2679,1.6411,1.3404,2.3755,0.73069,2.946,0.52908,0.99834,2.2146,3.4269,2.3471
0.51698,2.484,0.52092,0.39581,1.9484,3.4268,1.9934,3.3109,1.6816,1.4237,2.4342,0.78227,2.9798,0.55596,1.0784,2.295,3.5527,2.4016
0.55322,2.6774,0.55479,0.41878,2.109,3.4674,2.0327,3.3495,1.7314,1.4852,2.5091,0.81837,3.1004,0.58952,1.1432,2.3766,3.6629,2.4643
0.58018,2.899,0.58096,0.43414,2.2485,3.5005,2.1133,3.3797,1.7806,1.4842,2.5479,0.81759,3.1984,0.61494,1.1895,2.4386,3.7522,2.5108
0.60577,2.9029,0.60466,0.44857,2.3679,3.547,2.1924,3.4138,1.8298,1.4729,2.5638,0.83287,3.293,0.63948,1.2469,2.5057,3.8384,2.5558
0.61928,2.7492,0.61815,0.45617,2.429,3.5735,2.2343,3.4334,1.8573,1.4662,2.6329,0.85309,3.3432,0.6525,1.2797,2.5421,3.8878,2.5797
0.6317,2.7281,0.63087,0.46308,2.4858,3.5977,2.2726,3.4575,1.8832,1.4611,2.6417,0.87352,3.389,0.6644,1.3095,2.5751,3.9342,2.6016
0.6458,2.8908,0.64224,0.46894,2.534,3.6202,2.3089,3.4787,1.9067,1.4793,2.703,0.87033,3.4324,0.67609,1.3347,2.6031,3.9789,2.6237
0.65696,2.9074,0.64991,0.47395,2.565,3.6358,2.3346,3.4923,1.9228,1.5041,2.7147,0.88799,3.4631,0.68455,1.3509,2.6211,4.0108,2.64
0.67831,3.0495,0.66476,0.49053,2.6243,3.666,2.3837,3.5207,1.9541,1.5561,2.6703,0.90404,3.5219,0.70074,1.382,2.6556,4.0728,2.6712
0.71839,3.1097,0.69592,0.51595,2.7641,3.7303,2.4774,3.5797,2.0195,1.6625,2.8043,0.97267,3.6328,0.73118,1.4455,2.7237,4.2025,2.7303
0.79675,3.2944,0.75541,0.54961,3.0665,3.9068,2.7046,3.7372,2.1501,1.7642,2.8982,1.0231,3.8704,0.79214,1.5543,2.9475,4.4762,2.8588
0.90606,3.724,0.83711,0.62725,3.5246,4.1735,3.0173,3.974,2.3406,1.7857,3.0652,1.1412,4.1769,0.87967,1.7451,3.2263,4.9073,3.0675
0.98729,4.049,0.89547,0.66003,3.8783,4.3727,3.2413,4.1503,2.4847,1.7503,3.2476,1.2573,4.3913,0.94629,1.9088,3.3895,5.2611,3.2475
1.0438,4.2012,0.93816,0.68569,4.1686,4.5292,3.4165,4.2898,2.5957,1.8391,3.2531,1.2198,4.5545,0.99262,1.8505,3.5339,5.5361,3.3807
1.1398,4.3666,1.0073,0.7105,4.5511,4.8461,3.7733,4.5784,2.8047,1.897,3.5699,1.3456,4.9505,1.0749,1.8739,3.9483,6.0301,3.6404
1.2669,4.9152,1.0995,0.86372,5.0561,5.3053,4.2982,4.9998,3.1095,2.7389,3.8202,1.4571,5.6635,1.1915,2.083,4.3866,6.7454,4.0349
1.4169,5.4596,1.2028,0.84333,5.6174,5.8527,4.8786,5.5074,3.4803,2.4497,4.3428,1.1171,6.4634,1.33,2.364,4.8712,7.582,4.5201
1.5628,6.3384,1.2978,0.93497,6.1144,6.366,5.3991,5.9882,3.8415,2.8886,4.8867,1.2605,7.1246,1.458,2.6425,5.6469,8.3486,4.9682
1.6691,6.6263,1.3651,1.0547,6.4656,6.7134,5.7587,6.314,4.0891,2.7129,4.6328,1.2587,7.5713,1.5492,2.8427,6.094,8.8761,5.2823
1.784,6.8903,1.4244,1.2996,6.7372,7.004,6.076,6.5865,4.298,3.7055,5.8558,1.1774,7.9315,1.6324,3.0184,6.4095,9.3256,5.5621
1.9088,7.0338,1.489,1.1974,7.0578,7.3154,6.4088,6.8797,4.5259,4.5219,6.4295,1.7928,8.3025,1.722,3.2063,6.6943,9.8008,5.857
2.0105,7.2868,1.542,1.092,7.2932,7.5694,6.6795,7.1202,4.7156,4.1484,6.434,2.7192,8.6042,1.7967,3.3581,6.8911,10.178,6.0978
2.0738,7.8073,1.5781,1.679,7.4406,7.7417,6.8484,7.2832,4.845,3.6961,6.0074,1.7369,8.7926,1.8433,3.4632,7.0134,10.434,6.2481
